Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
28-09-2018,234.05,235.95,230.20,233.50,233.75,3069914,7162.35
27-09-2018,234.55,236.80,231.10,233.80,233.25,5082859,11859.95
26-09-2018,240.00,240.00,232.50,235.00,234.25,2240909,5248.60
25-09-2018,233.30,236.75,232.00,236.25,236.10,2349368,5503.90
24-09-2018,233.55,239.20,230.75,234.00,233.30,3423509,7999.55
21-09-2018,235.00,237.00,227.95,233.75,234.60,5395319,12589.59
19-09-2018,235.95,237.20,233.45,234.60,234.90,1362058,3202.78
18-09-2018,237.90,239.25,233.50,235.50,235.05,2614794,6163.70
17-09-2018,233.15,238.00,230.25,236.40,236.60,3170894,7445.41
14-09-2018,223.45,236.70,223.30,234.00,233.95,6377909,14784.50
12-09-2018,216.35,223.70,212.65,221.65,222.65,4570939,10002.01
11-09-2018,222.50,225.40,214.85,216.35,216.00,3508990,7735.81
10-09-2018,222.50,235.15,220.65,221.05,222.00,7514106,17130.29
07-09-2018,221.00,224.50,219.10,223.15,222.95,1232507,2742.84
06-09-2018,224.00,225.00,218.20,220.95,221.05,1738824,3856.72
05-09-2018,222.00,224.60,215.20,222.10,222.40,3023097,6674.93
04-09-2018,238.20,238.20,222.60,223.45,223.70,3554859,8163.82
03-09-2018,236.00,243.55,235.05,236.85,236.70,5242852,12538.39
31-08-2018,237.00,239.75,232.95,234.65,234.30,3353833,7913.21
30-08-2018,235.35,237.30,232.10,237.30,236.00,1921327,4516.57
29-08-2018,233.85,237.70,232.70,234.20,234.55,1394661,3280.33
28-08-2018,237.00,239.30,231.30,232.90,233.35,2374782,5571.77
27-08-2018,231.80,239.35,231.05,236.80,237.05,1990020,4689.94
24-08-2018,234.50,237.20,230.20,231.50,231.00,1838417,4289.35
23-08-2018,240.30,240.60,233.10,235.50,235.45,1553953,3662.36
21-08-2018,246.90,246.90,239.25,240.90,240.55,3272005,7941.40
20-08-2018,244.00,247.00,243.00,244.70,245.15,1690225,4141.83
17-08-2018,240.80,244.50,239.20,242.70,243.00,2838238,6885.52
16-08-2018,236.05,242.00,235.95,240.35,239.35,2551480,6106.81
14-08-2018,235.00,238.50,235.00,237.40,237.55,1885288,4459.96
13-08-2018,233.00,236.45,232.25,235.20,234.55,1948583,4573.57
10-08-2018,237.30,237.95,231.10,233.65,233.55,2035594,4757.48
09-08-2018,236.65,239.85,235.30,237.25,237.30,1127248,2676.63
08-08-2018,237.25,240.50,235.05,236.35,236.35,1807313,4305.39
07-08-2018,241.00,241.55,235.30,237.50,237.60,1963538,4677.58
06-08-2018,235.15,240.45,234.15,240.00,239.50,2560616,6080.87
03-08-2018,236.00,239.00,232.00,235.20,234.65,3357945,7893.32
02-08-2018,232.50,238.05,230.40,235.00,235.45,5700851,13328.52
01-08-2018,248.70,254.95,234.35,235.10,235.65,13272609,32325.56
31-07-2018,243.40,249.65,241.50,247.10,246.90,4422342,10917.34
30-07-2018,243.70,247.00,240.90,243.65,242.20,1867720,4544.83
27-07-2018,241.00,243.95,239.15,242.50,242.25,1581985,3821.97
26-07-2018,235.90,242.95,234.50,239.50,239.10,3996921,9565.10
25-07-2018,248.50,248.50,235.80,236.05,236.90,2310430,5596.44
24-07-2018,244.00,249.20,241.90,246.30,246.30,2278457,5607.30
23-07-2018,238.90,244.25,235.25,243.05,243.30,2351769,5645.48
20-07-2018,231.25,240.95,231.25,238.90,238.60,3003282,7143.47
19-07-2018,239.70,243.30,228.60,232.50,233.10,4223216,9934.06
18-07-2018,248.40,249.60,232.70,238.10,238.65,3343525,8021.22
17-07-2018,241.55,251.85,240.30,247.50,247.90,3158004,7794.77
16-07-2018,257.90,257.90,242.10,243.90,243.25,3454849,8566.75
13-07-2018,265.00,265.75,257.55,258.30,258.90,3357333,8804.57
12-07-2018,270.40,272.45,264.35,264.50,265.20,2250217,6045.37
11-07-2018,274.80,275.45,267.45,270.00,269.80,1407688,3811.57
10-07-2018,275.90,277.80,272.55,274.55,274.75,1284523,3532.63
09-07-2018,268.25,276.20,267.00,275.30,275.25,2267486,6168.10
06-07-2018,269.80,273.25,265.70,266.20,266.30,2022333,5443.53
05-07-2018,277.45,282.40,270.00,271.80,271.25,2338411,6459.01
04-07-2018,281.00,281.00,275.35,277.70,277.30,3598212,9999.82
03-07-2018,264.50,284.50,262.70,280.10,281.00,6676660,18483.41
02-07-2018,271.00,273.10,263.25,264.50,264.45,3661633,9740.90
29-06-2018,262.70,270.15,262.70,269.20,269.35,2077927,5519.02
28-06-2018,263.00,268.25,261.45,265.05,263.95,4511203,11917.50
27-06-2018,265.10,268.40,261.20,263.15,265.60,2234204,5905.05
26-06-2018,264.80,269.70,263.30,264.60,267.35,2208389,5886.61
25-06-2018,260.10,266.95,260.10,264.55,264.50,2103452,5563.82
22-06-2018,257.90,263.55,256.45,261.95,262.10,2459832,6442.71
21-06-2018,258.05,262.35,255.50,258.15,258.20,3020580,7806.40
20-06-2018,263.70,264.75,257.00,260.55,260.85,3367252,8755.18
19-06-2018,274.65,274.65,266.05,267.00,267.05,6224725,16640.21
18-06-2018,271.55,276.85,269.15,274.90,275.35,1541522,4214.24
15-06-2018,279.15,281.00,271.45,272.20,272.15,3133233,8614.03
14-06-2018,269.80,278.75,268.20,278.00,277.80,3646744,10067.32
13-06-2018,267.00,270.50,265.35,270.00,269.60,1232644,3311.87
12-06-2018,262.75,268.40,262.75,267.20,267.60,1206633,3209.40
11-06-2018,265.60,271.25,262.70,263.25,263.70,3538690,9470.30
08-06-2018,263.70,269.35,263.55,266.70,266.95,1104173,2945.64
07-06-2018,266.90,269.70,263.30,267.00,267.10,1527128,4075.26
06-06-2018,262.75,266.70,260.35,265.55,265.75,2052017,5408.38
05-06-2018,255.50,264.70,254.80,264.20,263.75,4208120,11030.56
04-06-2018,265.00,265.40,253.50,255.50,255.25,1819147,4706.54
01-06-2018,269.70,269.70,258.55,265.10,263.25,2622839,6920.49
31-05-2018,267.00,272.00,260.70,269.05,269.20,3469905,9239.62
30-05-2018,254.00,266.00,253.20,265.70,264.50,4154146,10876.90
29-05-2018,257.40,262.70,257.00,257.90,257.50,2235734,5803.91
28-05-2018,254.70,262.20,254.65,260.70,260.65,2649349,6862.75
25-05-2018,252.20,259.40,252.20,258.50,257.85,2071496,5324.08
24-05-2018,251.00,255.50,247.30,255.00,254.50,2921253,7380.24
23-05-2018,246.50,252.35,245.55,250.00,250.20,4295785,10726.50
22-05-2018,244.00,251.10,244.00,247.60,247.15,3175432,7874.05
21-05-2018,244.10,248.35,240.55,244.00,243.55,3180360,7762.71
18-05-2018,248.30,248.95,243.35,245.10,244.70,3297714,8103.65
17-05-2018,243.50,249.30,242.50,247.50,247.50,7108750,17573.66
16-05-2018,240.00,245.60,237.25,241.40,241.10,6328483,15295.87
15-05-2018,256.45,259.50,240.75,242.45,242.65,9298329,23074.68
14-05-2018,280.00,281.35,251.85,257.00,255.90,16822847,43913.37
11-05-2018,284.40,290.50,284.40,287.00,287.50,1974327,5685.22
10-05-2018,292.95,293.00,283.45,284.15,285.25,1446384,4157.17
09-05-2018,289.60,294.35,288.60,292.00,292.00,1820409,5311.00
08-05-2018,296.00,296.20,287.25,289.50,289.70,1720983,4998.87
07-05-2018,288.80,295.50,287.00,295.05,294.20,1848551,5387.46
04-05-2018,287.05,291.50,282.30,287.90,287.80,1399442,4014.10
03-05-2018,292.75,292.75,283.10,286.45,286.65,2561225,7355.63
02-05-2018,297.40,300.00,289.40,293.00,292.75,1857277,5479.60
30-04-2018,293.90,298.50,292.05,297.85,297.55,3046154,9025.87
27-04-2018,293.45,294.40,291.05,291.40,292.10,1858644,5443.94
26-04-2018,292.50,293.65,288.75,291.20,291.20,4942803,14401.35
25-04-2018,283.05,291.25,282.05,289.10,289.10,4804882,13808.09
24-04-2018,283.00,288.00,281.80,283.70,283.15,2131466,6075.20
23-04-2018,287.70,287.80,282.65,283.20,283.60,1687369,4794.16
20-04-2018,285.95,288.80,283.65,286.00,286.30,2523492,7225.36
19-04-2018,286.00,288.65,283.60,285.55,286.20,2434183,6966.56
18-04-2018,282.30,287.45,279.25,285.35,284.10,4719061,13416.32
17-04-2018,282.00,285.25,277.50,280.60,280.95,5799262,16355.69
16-04-2018,274.00,280.20,272.55,279.40,279.65,3030999,8371.24
13-04-2018,274.00,277.35,271.75,275.70,275.50,2196800,6024.34
12-04-2018,273.90,277.80,271.65,273.90,273.85,2149205,5896.21
11-04-2018,276.10,276.35,271.50,273.85,273.85,1996390,5454.47
10-04-2018,280.20,280.70,274.10,275.80,275.50,2190930,6065.36
09-04-2018,275.00,281.65,273.00,276.75,277.80,4623765,12889.29
06-04-2018,274.80,275.65,271.00,272.70,272.70,1852060,5047.58
05-04-2018,274.55,277.00,271.50,273.00,273.00,2658707,7260.79
04-04-2018,276.70,279.05,269.55,270.15,270.25,3283985,8975.77
03-04-2018,276.00,277.55,271.70,275.30,274.80,2613360,7162.95
02-04-2018,259.35,278.40,259.35,277.45,276.95,6610831,17918.02
28-03-2018,261.25,264.00,257.50,259.15,258.75,2283408,5951.18
27-03-2018,264.00,265.75,260.75,264.00,263.80,3071911,8092.83
26-03-2018,258.05,263.50,253.70,263.45,262.20,2440719,6332.93
23-03-2018,251.05,258.90,250.00,258.20,257.90,2297852,5859.45
22-03-2018,264.65,264.65,257.60,259.10,258.85,1681596,4369.46
21-03-2018,265.30,266.30,262.15,262.90,263.20,1477158,3901.51
20-03-2018,259.70,263.65,255.10,263.30,262.05,2855717,7453.21
19-03-2018,272.60,273.00,258.35,260.65,260.60,3665423,9640.91
16-03-2018,280.80,282.70,271.05,272.55,272.40,2762357,7633.86
15-03-2018,278.00,284.40,277.25,279.55,279.60,2877987,8081.81
14-03-2018,275.25,281.25,275.25,279.00,278.50,2056369,5729.14
13-03-2018,278.05,281.30,273.20,278.20,278.20,3095190,8590.75
12-03-2018,270.00,276.65,269.70,276.00,276.05,2583575,7052.02
09-03-2018,275.90,275.90,266.60,268.50,268.35,1614381,4376.16
08-03-2018,270.50,274.20,265.00,273.15,273.40,2246589,6068.80
07-03-2018,272.00,274.45,265.15,268.90,268.90,4847214,13070.84
06-03-2018,276.70,283.10,271.45,272.50,274.15,6601857,18367.89
05-03-2018,274.80,276.95,270.55,276.60,275.65,4680138,12811.25
01-03-2018,275.00,277.35,274.10,275.45,274.85,2322191,6392.67
28-02-2018,273.00,277.00,272.00,275.40,275.50,2808234,7727.14
27-02-2018,275.00,279.70,273.10,275.40,275.00,4778178,13208.65
26-02-2018,273.55,274.80,271.55,274.80,273.50,3672359,10027.43
23-02-2018,264.20,271.90,263.00,271.20,270.70,3895920,10479.23
22-02-2018,265.95,269.90,261.10,262.90,262.15,5466484,14389.22
21-02-2018,265.00,268.85,262.20,266.50,266.60,3638163,9678.53
20-02-2018,268.70,274.20,261.65,263.00,262.85,5120799,13695.83
19-02-2018,277.00,277.05,263.00,269.00,267.95,2620461,7022.82
16-02-2018,280.25,282.75,274.20,275.50,275.60,1925414,5331.07
15-02-2018,284.35,285.25,276.00,279.85,279.05,1807307,5082.79
14-02-2018,287.95,289.00,280.90,281.50,281.95,2455660,7003.26
12-02-2018,282.40,289.60,279.70,284.25,285.10,4583181,13079.39
09-02-2018,271.10,279.80,271.10,278.65,278.25,3121544,8655.43
08-02-2018,282.00,286.50,276.10,280.40,280.45,5863983,16553.84
07-02-2018,270.00,284.40,270.00,279.65,280.15,8055761,22500.69
06-02-2018,259.00,270.30,253.25,266.00,266.70,7044561,18431.55
05-02-2018,265.10,276.90,255.15,275.50,273.10,6833906,18386.99
02-02-2018,284.00,285.00,260.25,274.60,274.85,6697007,18375.08
01-02-2018,290.25,294.90,278.60,289.55,288.35,4593306,13229.01
31-01-2018,302.90,303.70,286.10,291.15,290.65,5397599,15929.24
30-01-2018,300.95,307.30,299.45,304.00,304.00,2590100,7871.40
29-01-2018,305.25,306.80,300.70,301.30,301.80,1806919,5489.77
25-01-2018,304.00,311.25,301.65,305.30,304.25,3631793,11123.41
24-01-2018,306.00,310.70,302.80,303.70,304.25,2154759,6585.37
23-01-2018,310.70,310.70,304.05,307.70,307.20,4416130,13560.72
22-01-2018,307.05,314.95,306.60,309.00,308.85,3278437,10171.94
19-01-2018,306.00,310.00,300.95,309.90,308.35,3653286,11183.31
18-01-2018,315.05,315.75,301.40,304.50,305.45,3408593,10502.65
17-01-2018,313.85,317.00,307.55,314.05,313.55,3742677,11717.46
16-01-2018,323.00,326.90,311.45,317.60,316.40,4683847,14922.72
15-01-2018,327.70,328.75,321.65,323.70,323.00,4519030,14701.51
12-01-2018,315.05,328.35,315.00,325.95,325.75,14484043,46643.39
11-01-2018,314.00,316.70,311.80,313.10,313.30,3481728,10911.99
10-01-2018,315.00,319.10,312.55,314.25,314.10,2517494,7944.49
09-01-2018,317.60,319.65,314.00,314.70,315.30,2411068,7628.80
08-01-2018,314.65,319.20,312.20,317.45,317.60,2171903,6855.32
05-01-2018,312.30,315.85,310.35,312.85,312.95,1896601,5938.16
04-01-2018,312.00,313.50,307.25,312.30,312.25,2703849,8380.41
03-01-2018,311.90,315.15,310.15,310.95,311.20,2073353,6469.92
02-01-2018,314.30,314.95,307.55,310.70,311.15,2014415,6252.42
01-01-2018,317.75,317.80,311.80,313.45,312.90,1602814,5040.75
29-12-2017,308.05,318.00,306.35,316.05,316.40,6874520,21586.26
28-12-2017,306.50,309.30,303.55,306.80,306.60,4620000,14164.22
27-12-2017,305.50,308.80,302.50,305.65,305.55,3315278,10164.51
26-12-2017,303.70,307.70,300.55,305.50,305.95,3956481,12073.55
22-12-2017,301.00,306.35,299.70,302.80,302.75,4703911,14271.47
21-12-2017,302.25,303.00,298.15,300.20,300.15,2280137,6845.56
20-12-2017,301.00,303.80,297.75,302.00,300.85,4692403,14149.92
19-12-2017,292.00,301.45,291.70,300.70,300.65,8383608,24973.97
18-12-2017,280.00,293.95,275.10,291.60,290.85,5912782,17013.97
15-12-2017,289.00,289.95,286.15,287.10,286.85,3036814,8735.39
14-12-2017,288.00,288.25,279.20,284.50,284.30,5575066,15810.93
13-12-2017,290.00,292.50,282.20,284.80,284.45,6799578,19574.91
12-12-2017,298.60,298.60,286.65,287.45,287.80,6874578,20150.22
11-12-2017,290.00,299.55,285.90,297.85,298.35,8045275,23729.27
08-12-2017,287.55,289.90,285.05,288.05,288.45,4297335,12354.21
07-12-2017,276.00,284.85,275.65,284.80,284.00,3820082,10662.60
06-12-2017,278.90,282.95,273.60,275.30,274.95,4358618,12100.11
05-12-2017,279.40,283.75,278.15,280.40,279.95,4876970,13694.44
04-12-2017,285.00,286.50,276.40,280.30,279.05,5784862,16212.97
01-12-2017,288.45,293.60,282.60,284.00,283.55,7150041,20637.33
30-11-2017,278.90,292.20,277.55,288.10,287.10,9944314,28436.36
29-11-2017,287.30,290.65,278.30,279.05,280.20,6464166,18367.29
28-11-2017,277.00,289.80,276.50,287.20,287.75,11258640,32227.87
27-11-2017,277.50,278.40,274.30,277.75,277.45,2208868,6106.05
